Название,Вымышленный автор,Автор,Монстры,Уровень,Тип,Сила,Материал,Оружие,URL в игре,Текст
Прозрачный хитин,Перкунос Седой,Александр и Елена,песчаный холерник,39,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/251,"
> …А в особо богатых домах в окна вставляют прозрачный хитин, что добывается с брюха молодых песчаных холерников. Хитин энтот дорогой и редкий, хоть и служит долго, ибо прочен зело.  
>   
>  Прозрачен он, как стекло почти, а в зной в дом жару не пускает и холод, когда мороз за окном. Одно помнить след: кипятить иль огнём обжечь прозрачный хитин надобно, ибо ежели энтого не сделать, то болезни страшенные можно в дом занесть.

***Перкунос Седой «О мире и жителях егонных», том седьмой***"
Мех вилаха,Хан и Туан,Александр и Елена,вилах,1,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/163,"
> Мех вилаха — это дорогостоящий материал, использующийся для изготовления одежды и декоративных предметов роскоши. При выделке он требует особого мастерства и хороших навыков скорняка. Из-за этого стоимость сырья часто сильно отличается от стоимости изделия.   
>   
> Сейчас на рынках и в лавках достаточно легко встретить вещи замаскированные под мех вилаха. Это низкокачественные продукты, как правило, быстро изнашивающиеся и при намокании не редко подверженные линьке.   
>   
> На подлинность меха вилаха указывают ряд присущих только ему признаков. Так, например: при изменении освещения он сильно меняет цвет, переходя от насыщено зеленого в дымчато-серый; несмотря на свою длину, он практически не спутывается; намокание происходит плохо, равномерно, без формирования отдельных прядей, то есть мех вилаха всегда остается рассыпчатым. Обладая данной информацией, достаточно сложно ошибиться и приобрести некачественную вещь.

***«Большая энциклопедия Хана и Туана», том двеннадцатый***"
Кусок кожи с клеймом,Каиниллин,Александр и Елена,орк-изгнанник,6,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/123,"
> Я, купец Каиниллин. А это просто сувенир. Я же не какой-нибудь, вымазанный тиной, гоблин, и не дикий дварф! Этот кусок кожи с выжженным клеймом я купил в орочьем городе! И если у вас торгуют содранной с сородичей кожей, то это говорит о вас, а не обо мне. И вообще, наверняка это подделка. Свиная, например, кожа с ненастоящим клеймом.  
>   
>  Предлагаю следующее решение проблемы. Я отдам тебе эту кожу. Мы, эльфы, снисходительны к… ко многим. А ты, в благодарность, за то, что сможешь провести с останками сородича орка-изгнанника погребение, или что там у вас, заплатишь мне. Это цивилизованный, безусловно, подход к решению разного рода недоразумений.

***Купец Каиниллин «Встреча на тракте с орком-изгнанником»***"
Кисы,Хан и Туан,Александр и Елена,камелопард,50,обувь,физическая,кожа,нет,https://the-tale.org/guide/artifacts/338,"
> Кисы – это особая обувь, наиболее распространённая среди орочьего народа, проживающего в холодной местности. Как правило, кисы изготавливаются из кожи, взятой с лап животных. Для данной обуви характерны: плотная многослойная подошва, часто с небольшим каблуком; высота чулка до колена; укреплённые прочной тканью швы. Подобные сапоги нередко украшаются костяными бусинами, меховыми вставками, вышивкой.   
>   
> Особенно ценятся камелопардовые кисы, потому как они обладают повышенной износостойкостью, и препятствуют как переохлаждению, так и перегреванию ноги. Этот вид обуви пользуется большим спросом среди профессиональных путешественников и авантюристов.

***«Большая энциклопедия Хана и Туана», том двенадцатый***  
"
Слизь,Лялислав Бездомный,Александр и Елена,слизь,10,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/94,"
> Никогда бы не подумал, что слизь — это очень полезная вещь, в некоторых случаях даже незаменимая. Мягко говоря, скверно пахнущая гадость, проходя алхимическую очистку, превращается… Кто бы мог подумать, во что?..   
>   
> Держитесь крепче, я много что в своей жизни видел и не раз в бою бывал, но когда узнал, еле в уборную успел, и полоскало меня там, как после пяти бутылок кустарной гоблинской алхимии.   
>   
> Дело в том, что из слизи производится женская губная помада. Причем не какая-нибудь, а вся: качественная, увлажняющая и так обольстительно блестящая.   
>   
> Может быть, я уж очень близко это к сердцу, точнее к желудку, принял, но Великий тракт, мне страшно представить, сколько я этой дряни в своей жизни съел.   
>   
> Конечно, тем, кто не видел и не нюхал слизь в её, так сказать, первоначальном состоянии, и тем, кто не знает, чем она питается, будет проще воспринять сей факт. Но вот тот, кто сталкивался с ней э… при жизни, меня поймет.

***Лялислав Бездомный «Записки путешественника»***"
Чешуйка дракончика,Каиниллин,Александр и Елена,пустынный дракончик,12,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/127,"
> Взгляни, путник, на эту чешуйку пустынного дракончика. На первый взгляд, да. Чешуйка, как чешуйка, но… Видишь выцарапанные слова? Это молитвы. Все относят трофеи торговцам, в том числе и чешуйки. А мы, в свою очередь, несём их к орочьим шаманам. Безусловно, легальным, а не заблудшим. Те вырезают на чешуйках дракончиков молитвы. Орки верят, что дракончики, любые, нравятся высшим сферам, и молитва, прочитанная с чешуйки, не может не помочь. Способ вырезания передают от учителя к ученику. Очень давно. Работа ювелирна, и посмотри на эти буквы. Даром, что малокультурные и плохо развитые «песочники», а своя уникальная красота, надо признать, в их старом алфавите есть.  
>   
>  Купи, путник. Прекрасный сувенир. И всего-то за…

***Купец Каиниллин «Торг с путешественником»***"
Окаменевшая птичка,Лялислав Бездомный,Александр и Елена,василиск,21,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/103,"
> Да… Василиск — это серьезно. Ну, если уж удалось его одолеть, то и трофеи от него остаются не дешёвые. Главное — не зацикливаться на самом монстре и его внутренностях, в случае с этой тварью, добычу стоит искать еще и вокруг неё.   
>   
> Дело в том, что данная бестия, когда не голодная, впадает в своего рода транс, ну попросту говоря, лежит себе, не шевелится, как мертвая. Всякие птички, изобилующие на болотах, часто принимают ее за камень или корягу и начинают на ней вить гнезда.   
>   
> Василиск подобного хамства со стороны пернатых не приемлет и порой, своим знаменитым взглядом, каменит бедняг.   
>   
> В общем, в результате получаются умопомрачительные по своей красоте и «качеству работы» статуэтки гагар, чогм, чернышей, травников, крачек и камышёвок, которые, при желании, можно без особого труда продать за весьма и весьма неплохие деньги.

***Лялислав Бездомный «Записки путешественника»***"
Печень бхута,Каиниллин,Александр и Елена,бхут,1,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/159,"
> О, прекрасная печень бхута, крупная! Да, путник, я возьму её. В нашем городе немало проживает вашего брата-трупоеда. Мясо убиенных тут любят. И, безусловно, найдутся те, кто заплатит за подобный деликатес. Право слово, сложно мне, эльфу, понять, как можно есть трупы животных. Но, как можно есть куски всякой нечисти, монстров, падальщиков — это и вовсе в голове не укладывается. Ну, каждому своё, каждому своё...  
>   
> Но много-то не жди получить. Печень не первой свежести.

***Купец Каиниллин «Торг с путешественником»***"
Череп вурдалака,Очирбат и Йорл,Александр и Елена,вурдалак,56,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/331,"
> – Йорл, слышь-ка.  
>   
> – А?  
>   
> – Если мы этого вурдалака найдём, ты это… постарайся ему череп не развалить своей секирой, ага?  
>   
> – Ты что, Чирба, веришь в бредни про чудодейственную силу этой… мерзости? Это же чушь полная. Ну, как может кусок нежити укрепить твою, к-хм, мужескость?  
>   
> – Да не верю я, конечно. Зато знаю богатого фермера, он верит. Считай, премию получим, ха-ха!

***Очирбат и Йорл «Патрулирование трактов»***  
"
Росток радуги,Перкунос Седой,Александр и Елена,единорог,18,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/84,"
> Ежели единорожец повстречался тебе, не спеши местность ту покинуть. Вокруг надобно поискать и росток радуги найти, коий часто есть поблизости с единорожцем. Вещь то непонятная и учёными пока не объяснённая, но выглядит красиво зело и денег стоит преогромных. Будто радуги начало из земли сырой али воды торчащее как узришь, так руку под него засунь и росток радуги ентой на ладони подымай. Можно тогда его в банку засунуть али другой сосуд подходящий, в который воды брызгать необходимо, чтоб росток не засох.  
>   
> Опосля того, как отнесть росток в город, можно его на пруд посадить или в доме прямо на окно. Тогда поливать нужно кажный день, ибо засохнет. В дождь и солнце, кои одновременно случатся, будет росток хорошо виден, и радовать красотою смотрящего станет. Но того токмо, который единорожца не убил за жизнь не единого. Если же убил, тогда приходить призрак единорожца станет и сны прекошмарные насылать, а росток радужный не радовать его будет, а напротив даже, апатию нагонять и удручение.

***Перкунос Седой «О мире и жителях егонных», том двенадцатый***"
Пучки сухих трав,Каиниллин,Александр и Елена,кобольд,1,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/309,"
> А что это за травы ты принёс, путник?.. У кобольда взял? А не обманываешь ли ты меня, о наиподозрительнейший из моих клиентов?..  
>   
>  Вот не нужно! Это лишнее, уверяю тебя. Убери свой, безусловно, заслуживающий всякого уважения меч. Ты не должен обижаться, учитывая то, в каком виде ты пришёл в мою лавку. Осторожно выражаясь, ты выглядишь скорее отвратительно грязным попрошайкой и бродягой, смердящим гнилью, нежели славным воином, замаравшим одежды в топях и болотах, очищая мир от опасных монстров…  
>   
>  Вот и славно. А теперь вернёмся к твоим травам… Да, безусловно, я знаю, что кобольды часто носят с собой полезные травы, которые если и не оказываются лечебными, то уж чай из них заваривают прекрасный… Да, о стоимости такого чая мне также известно. И я готов купить у тебя твои травки, скажем за…

***Купец Каиниллин «Торг с путешественником»***"
Чёрный плащ,Переяр,Александр и Елена,бескуд,45,плащ,ближе к магии,кожа,нет,https://the-tale.org/guide/artifacts/335,"
> – О, заходи! Ты вовремя. На-ка вот. Нашёл в кладовке… Это? Чёрный плащ!..  
>   
> Зря хихикаешь. Садись, расскажу. Бескуды, опасные и злобные твари, порой носят такие плащи. Они делают их из кожи… хотя тебе лучше не знать… Да ничего такого, не волнуйся.  
>   
> Так вот. Встретил я как-то путника на тракте. Ну, человек как человек вроде, только вижу — тени-то у него нет! Сталь сама в руку прыгнула, я его рубанул без лишних вопросов, да не тут-то было. Он исчез как будто и тут же возник, только на шаг в стороне…  
>   
> Да вот так. Плащ может зрение твоё обмануть. Говорю же, отличная вещь… Да успокоил, конечно, куда деваться-то было, хе-хе. Но он меня потрепал когтями изрядно. В ранах преспокойно можно было жилы, вены там всякие поразглядывать, да. Зато добыл волшебный плащ из человеческой, а может и эльф… эм-м… Ты тошниться побежал?! Эх… ну беги, чего уж…

***Из бесед у камина со старым Переяром***  
"
Рыжий хвост,Каиниллин,Александр и Елена,огненная лиса,4,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/122,"
> …На воротники, муфты, да на что угодно. Рыжий хвост огненной лисы всегда в моде. Шикарно выглядит, сразу все увидят, что ты не какой-нибудь сброд. Берёшь?.. Ну, вот и отлично, а то приходят разные, всякие мерзкие карлы с нечёсаными бородами, умаруханные тиной гоблины. Бродяги. Посмотрят, товар лапами своими потеребят, испачкают, и ничего не покупая уходят.  
>   
> Нет, с одной стороны, я их понимаю. Хочется посмотреть на дорогие вещи. Полюбоваться. Но я-то причём? Постоянно мы, эльфы, как высшая раса, пытаемся помогать остальным. Учим их, демонстрируем как надо жить. Нет же, продолжают есть мясо, если не сказать мертвечину. По лесу ходить не умеют. В цветах не разбираются. Приходят в приличные лавки, портят товар, а покупать не хотят. Вот ты, госпожа, эльфка. Пришла, выбрала, купила. Это хорошо, это культура! Не то, что все эти дикие орки, живущие в пыли, и беспринципные люди, вечно копошащиеся в навозе. Хотя и ты, надо признать, со своими капризами и надменным, но, безусловно, прекрасным лицом, вымотала мне все нервы, пока выбрала покупку.

***Купец Каиниллин «Торг с путешественником»***"
Учебник Силы,Перкунос Седой,Александр и Елена,ученик Силы,11,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/316,"
> Оные паршивцы околачиваются по трактам наезженным да по дорогам хоженым, промеж деревень снуют и в городах встречаются. Токмо эльфьего народа детьми они приходятся и следят за этим строго особливо. Так как только у них кровный дар есть выдающийся, в чарах толк знать. И всё они колдовству своему посвящают и жизней других на то не жалея, словно на куклах бездушных тренируются. А зовутся оные учениками Силы.   
>   
> В поселениях ладных и добрых за убиение ихнее часто награда назначается золотом. Однако же, не всем оная дается, а токмо тем, кто книгу чёрную, именуемую учебником Силы, в доказательство принесть сможет, коя всегда при поганцах этих безжалостных имеется.

***Перкунос Седой «О мире и жителях егонных», том пятый***"
Фигурка из кости,Каиниллин,Александр и Елена,пожиратель плоти,44,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/311,"
> …И я, господа, настаиваю сменить тон! Мне приносят трофеи, я их перепродаю. Меня не касается, из чего вырезаны оные или вылеплены. Я купец! Безусловно, я член общества и потому отдам вам эти фигурки из кости. Для погребения, или что вы будете с ними делать. Но.  
>   
>  Мне абсолютно плевать, как эльфу, из чьих берцовых костей они вырезаны… Пусть из ребер, пусть хоть из таза! Вы хоть все друг друга ешьте, меньше лес вытаптывать будете! Так вот, мне не интересно… У вас служба? Понимаю. У меня торговля. Поймите меня и вы…  
>   
>  Пожиратели плоти, надо признать, прекрасно режут по кости. Неужели вы сожжёте искусство?.. О времена, о нравы. Кстати! Не желаете взглянуть на преинтересную книгу? Она написана неким путешественником и описывает нравы разных краёв?..

***Купец Каиниллин «Беседа с Серыми Плащами»***"
Природное стекло,Хан и Туан,Александр и Елена,белая гиена,44,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/255,"
> Стекло — это продукт, получаемый в процессе плавления белого песка до жидкого состояния. В зависимости от того, в каком количестве в данный вид песка были внесены примеси, меняются его характеристики. Также, на конечный результат выплавки стекла влияет искусность мастера, его умение определять достаточность или недостаточность нагревания и скорость охлаждения. Всё это в совокупности определяет качество изготавливаемого продукта.   
>   
> Стекло используется практически повсеместно, однако его стоимость всегда остается достаточно высокой. Прежде всего, это обуславливается сложностью его производства и относительной редкостью необходимого для этого сырьевого материала.   
>   
> Необходимо отметить, что в пустынной местности иногда находят так называемое природное стекло. Данный продукт является результатом жизнедеятельности некоторых бестий, обладающих самопламенеющей шерстью, кожей или чешуёй. Например, барханные гиены, задержавшись на некоторое время в одном месте, раскаляют почву и та плавится, преобразуюясь в стекло. Когда находят такое стекло, его либо используют в декоративных целях, либо переплавляют в более качественный и дорогостоящий продукт.

***«Большая энциклопедия Хана и Туана», том семнадцатый***"
Порванная медная цепочка,Хан и Туан,Александр и Елена,анчутка,1,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/175,"
> Работа ювелиров заключается не только в создании новых украшений, но и, нередко, в реставрации и ремонте изделий, которые уже кто-либо использовал.   
>   
> Найти мастера, имеющего навыки в восстановлении, часто намного сложнее чем того, кто способен изготовить ту или иную вещь. Например, история знает случаи, когда повреждались экспонаты собраний из недорогих драгоценных металлов, и стоимость их восстановления значительно превышала стоимость аналогичного, но нового ювелирного изделия.   
>   
> В основном, испорченные предметы, не имеющие значимости для коллекционеров, скупаются по очень невысокой цене. Например, к таким предметам относятся медные браслеты, цепи, украшения для волос, похищенные и сломанные анчуткой.

***«Большая энциклопедия Хана и Туана», том шестой***"
Мех приземника,Очирбат и Йорл,Александр и Елена,приземник,48,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/326,"
> – ...В общем, Йорл, такие дела. Староста моей деревни дочь за шамана так и выдал.  
>   
> – И что, хватило на приданое меха с брюха приземника?  
>   
> – А то! Брюхо-то у него ого-го! В эту шкурку можно было б нас с тобой завернуть.  
>   
> – Очирбат, размер я себе представляю, но этот мех что, такой дорогой?  
>   
> – Не то слово. Шаман жене своей шубу сшил, дороже вещи в деревне и не было, пожалуй. Ну, не считая доспехов и оружия, но его ж в приданое не дают, хы-хы.  
>   
> – Да? А у дварфов бывает. У меня знакомый, считай, ради топора женился, ха-ха. Слушай, так значит, если на приземника напоремся, надо ему брюхо не попортить?  
>   
> – Ну, дружище, если ты так ставишь вопрос, то скорее уж спинку беречь надо, приземнику, значит. Я тебе такой доспех смастерю...

***Очирбат и Йорл «Патрулирование трактов»***  
"
Синие грибы,Переяр,Александр и Елена,спятивший лорд,21,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/185,"
> Привет, привет. Заходи. Ты вовремя. Мне тут, в аккурат, один аристократ знакомый, лорд с холмов, что на западе, прислал синих грибков малость. Попробуешь?.. Да глупости это. Нет, если, конечно, их горстями жрать, то да, мозги в кисель превратятся. А так если, иногда, то ничего страшного. Ну так что? Будешь?.. Вот это верно, держи. Молодец…  
>   
>  …Ну что, очнулся? Не слабо, да? Вещь?.. А то. Я плохого не посоветую. Ты давай собирайся, а то, небось, дома заждались уже. И смотри мамке не скажи, а то она разорётся, мол, дядька Переяр совсем сбрендил на старости лет, детей на тяжёлые наркотики сажает. А спросит, чего бледный такой, ты знаешь, что сказать. Хе-хе. Ну пока.

***Из бесед у камина со старым Переяром***"
Золотая чешуйка,Перкунос Седой,Александр и Елена,ламия,43,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/193,"
> …Чешуёй золотой вся покрыта, но лишь цветом та драгоценна. Знающий люд отличить способен дюжину чешуй, что и впрямь у ламии из метала благородного. Чешуи те на груди монстра поганого, сердце егонное защищают, и лишь у той ламии, что матёра зело и дюжину дюжин человек сожрала уже за жизнь свою премерзкую.

***Перкунос Седой «О мире и жителях егонных», том четвёртый***"
Живой корень,Перкунос Седой,Александр и Елена,хищный кустик,5,амулет,равновесие,дерево,нет,https://the-tale.org/guide/artifacts/9,"
> Для тех, кто духом слабый и телом немощный, особливо полезен к ношению амулет из коренья хищного кустарника. Оный оберег живым корнем именуется и силою своею повсюду славится. Можно его и детям малым на шеи вешать, и старикам дряблым, и бабам, что на сносях находятся.   
>   
> Дабы изготовить энтот амулет, надобно разыскать в лавках магических корень кустарника хищного и домой оный принесть. Затем в платок, потом обладателя будущего пропитанный, завернуть и на двенадцать дней и ночей на окне оставить. Когда время придет, не вынимая из платка, оберег энтот в руки носителя кладется.   
>   
> Надобно чтобы оный держал его при себе, не кладя никуда и не разворачивая, покуда не почувствует, что корень легоннько шевелиться начал. Только тогда пусть платок выбрасывает либо сжигает, а корень шнурком кожаным обвязывает и на себя вешает.

***Перкунос Седой «О мире и жителях егонных», том седьмой***"
Заколка для волос,Хан и Туан,Александр и Елена,ачери,1,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/169,"
> Заколка для волос — это специфическое приспособление, использующееся для фиксации, удержания волос в необходимом положении и декорирования причесок. Существует большое разнообразие видов и форм заколок для волос: от примитивных и недорогих, до сложных, имеющих начально-механические элементы, и украшенных драгоценными камнями, обладающих высокой стоимостью.   
>   
> Данные аксессуары используют как мужчины, так и женщины. Первые, как правило, выбирают незаметные и простые в применении заколки: спицы, шпильки, проволочные тесьмы. Вторые предпочитают акцентные и сложносоставные, способные не только зафиксировать волос, чтобы он не мешал в работе или за столом, но и дополнить прическу. К таким заколкам относятся: гребни, цветочные захваты, бусиновые зажимы.  
>   
> На данный момент лавки и торговые шатры предлагают значительный ассортимент этих изделий, рассчитанный на разные группы покупателей, как обладающих высокой платежеспособностью, так и нет.

***«Большая энциклопедия Хана и Туана», том девятый***"
Горсть чёрного праха,Очирбат и Йорл,Александр и Елена,бескуд,45,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/334,"
> – Как ты?  
>   
> – Нормально, просто царапина.  
>   
> – Хы-хы. Да в неё можно палец всунуть! Не дури, Йорл, дай перевяжу.  
>   
> – Хорошо… Я тут подумал, Очирбат. Мы с тобой ушли на покой, так ведь? Решили осесть где-нибудь и заниматься обеспечением безопасности трактов. С тех пор на твоей зелёной морде прибавилось три шрама, так?  
>   
> – Не вертись, борода. Ты к чему?  
>   
> – Два дня бескуда выслеживали. Он меня потрепал прилично, плащ в лохмотья. А прибыли? Заплатят-то немного. И чёрного праха нет.  
>   
> – Сегодня нет, завтра есть. Зато весело! Кстати, что за прах?  
>   
> – Магам и алхимикам нужен. Для очистки каких-то декоктов. Намного лучше угля, говорят. Платят хорошо за него, только это редкость. Чирба, у вас в песках не учат ничему, что ли?  
>   
> – Правда ведь палец всуну, Йорл.  
>   
> – По непонятным причинам сердце бескуда иногда рассыпается в прах, плотный такой, как мука. Дорогой, но редкий.

***Очирбат и Йорл «Патрулирование трактов»***  
"
Мясо грима,Хан и Туан,Александр и Елена,грим,40,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/205,"
> Мясо грима — это один из ценных и дорогостоящих компонентов, использующихся в лекарстве и врачевании. Данный продукт является уникальным по своим целебным свойствам. Употребляется он при лечении сложных, запущенных болезней, связанных с перевариванием и внутренним обращением пищи.   
>   
> Нередко мясо грима входит в состав микстур и декоктов, применяющихся для восстановления нормальной активности и аппетита больного после тяжёлых отравлений, продолжительного голодания и затяжных болезней.   
>   
> Основными поставщиками этого компонента являются путешественники, профессиональные авантюристы, охотники на монстров. Из-за риска, часто сопутствующего его добыче, цена на него всегда остается устойчиво высокой.

***«Большая энциклопедия Хана и Туана», том семнадцатый***"
Желчь гринделя,Хан и Туан,Александр и Елена,гриндель,22,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/202,"
> Желчь гринделя является дорогостоящим магическим компонентом, использующимся для начертания защитных рун, а также, для усиления эффекта воздействия материальных веществ на тело мага, необходимого при сотворении ряда заклинаний.   
>   
> Данный продукт перед употреблением, как правило, алхимически очищается и преобразовывается. Существуют три основных состояния желчи гринделя: естественно-природное, мазеобразное, или чернильное, и твердое. В зависимости от условий окружающего мира, разности целей, которых стремится достичь маг, применяя этот компонент, выбирается его наиболее удобное состояние.   
>   
> Отдельно необходимо отметить, что желчь гринделя обладает лекарственными свойствами. Однако из-за высокой стоимости она крайне редко употребляется во врачевании и целительстве.

***«Большая энциклопедия Хана и Туана», том третий***"
Пара чулок,Каиниллин,Александр и Елена,стрига,50,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/325,"
> Госпожа, я безмерно рад вас видеть!.. Да, безусловно, я достал то, что вы просили. Разве я подводил вас когда-нибудь? Вот, взгляните…  
>   
> Да, абсолютно верно. Вижу, вы разбираетесь в изысканных вещах не хуже меня. Чулки прелестны, лучше не скажешь. Вы лишите мужчин последних шансов устоять перед вашей, безусловно, оценённой уже многими, красотой… Что вы, ну какие намёки? Вы обратите внимание на качество! В наших краях такого не найти. Думаю, вы понимаете, что и цена будет немалой...  
>   
> Поздравляю с прелестной покупкой. До свиданья. Приходите ещё!..  
>   
> Ну конечно, ты придёшь. Ты же не знаешь, откуда эти чулки… Я сказал, кто, если не вы, госпожа, достойны носить эти чулки… И вам удачи!

***Купец Каиниллин «Торг с путешественником»***  
"
Корона,Каиниллин,Александр и Елена,крыса,1,шлем,равновесие,металл,нет,https://the-tale.org/guide/artifacts/67,"
> М-м. Корона крысиного короля. Поздравляю, путник. Для новичка, подобного тебе, победа над этим монстром — удача. Ныне редкость повстречать не просто крысу, а крысиного лидера. Поистине, магическое существо. Умное и мерзкое. Но не обольщайся. Такие короны, выплавленные из свинца, грубой работы, к тому же воняющие крысами, стоят не много. Я бы вообще не купил, но молодых авантюристов нужно поддерживать. Если, конечно, ты и впрямь снял корону с крысы, а не украл, что для представителя твоей расы не редкость. Уж прости за прямоту.  
>   
>  И всё же, я, будучи честным, безусловно, купцом, готов заплатить тебе за свинцовую корону целых…

***Купец Каиниллин «Торг с путешественником»***"
Струны,Лялислав Бездомный,Александр и Елена,атач,51,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/337,"
> Ещё у атачей ценятся жилы. Но чтобы их вытащить и не повредить, надо иметь неимоверное терпение: работа мерзкая, тонкая и очень, иногда даже до бешенства, нудная. Но в результате продать такой трофей можно за весьма солидную сумму. Важно знать кому.   
>   
> Ушлые торговцы покупают жилы атачей за бесценок, а затем перепродают и отлично на этом наживаются. Так кому же и зачем нужна эта пакость?   
>   
> Да всё просто.  
>   
> Жилы атачей — это не пакость, это — дорогущие струны, отличный подарок для многих лютнистов и скрипачей. Кстати, лично я об этом именно от менестреля узнал.   
>   
> Теперь каждый раз, как атача приходится разделывать, думаю о прекрасном — о музыке.

***Лялислав Бездомный «Брильянтовый тракт»***  
"
