Название,Вымышленный автор,Автор,Уровень,Тип,Архетип,Интеллект,Общение,Структура,Особенности,Передвижение,Форма тела,Размер тела,Положение тела,Оружие,Способности,Территория,Добыча,URL в игре,Текст
Омерзень,Перкунос Седой,Александр и Елена,39,чудовища,маг,инстинкты,жестовое,живая плоть,"кожа: морщинистая,кожа: маслянистая (блестящая),кожа: тёмная,глаза: чёрные (без белков),заразный,запах: гниль,уродливый",4 лапы,свиноподобное,большой,горизонтальное,"когти (урон: рвущий; материал: роговое образование; тип силы: равновесие),клыки (урон: кусательный; материал: зуб; тип силы: физическая)","Вампиризм,Толстяк,Удар,Регенерация","болото,заболоченный лес,грязевые холмы,грязь","червивы,болотный гной",https://the-tale.org/guide/mobs/119,"
> В болотах затхлых, где солнца луч дорогу найти сквозь кроны деревьев корявых не способен, обитает погань энта. Таится оная в ряске гнильной, промеж тины обширной туловище свое огромное скрывая. Вид имеет преотвратнейший и силой обладает немереной. Словно бы из червей вся сотканная и гнойно-желтой слизью покрытая тварь энта, и нету ей имя иного окромя как омерзень.   
>   
> Кому в недобрый час повстречается оная, тому вовек без снадобий магических и помощи Хранителя от следов энтого не избавиться. Каждый удар нанося, она внутрь кожи жертвы своей проникает и кровь у ейной сосёт, при энтом силы набираясь.   
>   
> А кто чудище таковое сразить сумеет, тому себя осмотреть надобно тщательно, потому как если хоть малая часть омерзени в ране у кого останется, начнет тварь энта прямо в оном расти и изнутри пожирать, покуда совсем не сгубит.

***Перкунос Седой «О мире и жителях егоных», том девятый***"
Кобольд,Переяр,Александр и Елена,1,разумные двуногие,воин,низкий,"вербальное,жестовое",живая плоть,"худой,кожа: ороговевшая,запах: немытое тело (вонь),глаза: жёлтые,горбящийся",2 ноги,гуманоидное,маленький,вертикальное,нож (урон: колющий / режущий; материал: кость; тип силы: ближе к магии),"Удар,Кожа да кости","болото,заболоченные холмы,заболоченный лес,заболоченный лес на холмах,высокие горы,джунгли,джунгли на холмах,низкие горы,грязь,грязевые холмы","костяной нож,пучки сухих трав",https://the-tale.org/guide/mobs/151,"
> Смешные твари, мелкие. Ящерицы полуразумные, только телом на гоблина похожи, ага. А учитывая среду обитания, подозрения различного рода у меня появлялись… хе-хе.  
>   
> Говорю тебе, не разумные они. Да, одежду делают и оружие, но это... как бы тебе… подражание нам, понимаешь? Тупенькие они, малоразвиты. Вещи, кстати сказать, в основном, у них трофейные. А так да, сильно на нас похожи. И вожди там у них свои, и шаманы даже есть!.. Опасны ли?  
>   
> Так-то нет. Хилые. Но для новичка в воинском ремесле угрозу представляют. Вот был случай у меня, в аккурат по юности ещё… Сиди! Обещал мамке твоей мужика из тебя сделать и сделаю. Да, опять про кровищу и прочее. Ни чего, потерпишь. Так вот, решил я как-то костяной нож себе заиметь…

***Из бесед у камина со старым Переяром***"
Каменный великан,Лялислав Бездомный,Александр и Елена,38,разумные двуногие,воин,низкий,"вербальное,жестовое",живая плоть,"кожа: ороговевшая,кожа: тёмная,торс: мощный,зубы: клыки,глаза: много,уродливый",2 ноги,гуманоидное,большой,вертикальное,"кулак (урон: ударный; материал: экзотика; тип силы: физическая),клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике)","Толстяк,Удар,Вампиризм,Громила,Неповоротливый","высокие горы,низкие горы","скалистая накидка,камень крови",https://the-tale.org/guide/mobs/108,"
> Да, как говорится, не пей с кем попало что попало. А началось всё с того, что я забрел в одну чудную деревушку.   
>   
> Селеньице мне сразу не понравилось, но делать было нечего: припасы стоило бы пополнить, а дорога до другого была не близкой. Впереди перевал Нарангара — это с полтора месяца пути, и неизвестно, скоро ли представится возможность прикупить снеди. Сзади мост через Вайонгское ущелье — туда можно было бы вернуться, потом выйдя на белый дварфовский тракт, но мне стало жаль уже проделанной дороги. Поэтому я всё же решил остановиться в этой странной, затерянной меж заснеженных скал, деревеньке.   
>   
> Население в ней было небольшое, смешанное: тут и дварфы, и люди, даже несколько орков. Может это меня насторожило. В конце концов, редко представители разных рас могут друг с другом ужиться в небольшом поселении. А может то, что в дерене было подозрительно много мужиков по отношению к женщинам и как-то маловато детей и стариков. Не знаю.   
>   
> Однако приняли меня более чем хорошо. Накормили, баню приготовили, даже девушку на ночь прислали. Поутру староста на завтрак позвал. Вроде, все как обычно, — расспросить где был, что видел. В общем, за кружечкой странного, но вкусного местного чая я и отключился…  
>   
> В себя пришёл полураздетым и прикованным к какой-то каменюге. Пытаясь перебороть действие дурманящего снадобья, я сонным и плывущим взглядом осмотрелся. Увиденный вблизи меня оханкану, подействовал на мой организм лучше любого противоядья.   
>   
> Для тех, кто не в курсе, объясню, оханкану, ещё их каменными великанами зовут — это здоровенная тварь. Роста в нем, как в двух взрослых орков, веса — даже представить себе не могу — поднять не пытался, но то, что о-очень много, видно сразу. Шкура серая, глаз восемь, в две вертикальные линии на морде расположены, пасть здоровая с тремя (один сверху, два снизу) похожими на гарпуны зубами. Одним словом — симпатяга. Питается он кровью крупных животных, монстров и, как оказалось, доверчивых путников, у которых вместо мозгов, похоже, каша или что-то вроде. К слову, кровь втягивает он через те самые зубы.   
>   
> Шанс на спасение мне явно мой Хранитель дал. Оковы от времени сильно проржавели и я умудрился выдернуть их из камня, в который они были вбиты. Даже сейчас, наверно, не смогу такое повторить, а тогда от страха силы столько появилось, что мне кажется, я бы и цепи порвать смог… Шучу, конечно.   
>   
> Дальше дело пошло шустро. Рёв монстра, моё падение с обрыва, раздирающая всё тело боль, холод, пляшущий в безумном танце мир, отупение, какие-то дварфы, невыносимо трясущаяся телега…  
>   
> Позже, когда я выздоровел, подобравший меня разъезд воинов рассказал о том, что они давно слышали о той деревушке и как раз ехали туда с карательной экспедицией. Жители того селения иногда баловали оханкану одинокими путниками. За это каменный великан не трогал заботливых господ и попутно выбивал в округе других монстров. Вот такие добрые селяне. Остановишься у них на ночлег…

***Лялислав Бездомный «Записки путешественника»***"
Крыса,Переяр,Александр и Елена,1,животные,воин,инстинкты,жестовое,живая плоть,"глаза: красные,шерсть: жёсткая,шерсть: короткая,зубы: клыки,глаза: светятся,хвост",4 лапы,крысиное,маленький,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике),"Слабый,Удар,Кожа да кости,Регенерация,Быстрее ветра","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,глубокая вода,мелкая вода,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","корона,крысиный хвостик",https://the-tale.org/guide/mobs/62,"
> Только это не те крысы, которые в амбарах зерно портят. Эта мерзость в руку длиной без хвоста. Ну и хвост почти столько же, чешуйчатый такой, без шерсти. Глаза красным в темноте светятся, зубы, что у той собаки. Как положено, крысы везде есть. Только эти зерна не едят. Натуральные хищники, как волки.  
>   
>  Не знаю, откуда они такие здоровые взялись. Может всегда порода такая была, а может мутировали, как мусорники… Не, следов мутаций нет никаких. Ну кроме размеров и регенерации… Да, они ж, хоть и слабые, здоровьем хилые, но крайне быстрые, сволочи, и регенерируют… Да прямо на глазах. Её рубанёшь, лапа, скажем, отскакивает. Глядь, новая лезть начинает. Прямо из раны. Косточки, сухожилия, мясом обрастает. Гадливое такое зрелище, поначалу… Потом? Хе-хе. Потом быстро привыкаешь. Ты, чтоб на крысу не наткнуться, от города до города не дойдёшь. Крыса и путник – это извечное противостояние, так сказать.  
>   
>  А ещё ей когда хвост отрезаешь, у мёртвой уже, он у тебя в руке, как змея извивается… Ты чего закашлялся?

***Из бесед у камина со старым Переяром***"
Наркоман,Лялислав Бездомный,Александр и Елена,22,разумные двуногие,авантюрист,нормальный,"вербальное,жестовое",живая плоть,"глаза: остекленевшие (рыбьи),одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,нож (урон: колющий / режущий; материал: металл; тип силы: равновесие),"Удар,Тростинка","заболоченные холмы,хвойный лес,хвойный лес на холмах,лиственный лес,лиственный лес на холмах,заболоченный лес,заболоченный лес на холмах,джунгли,джунгли на холмах,мёртвый лес,мёртвый лес на холмах,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы","лунное лезвие,сизая муть",https://the-tale.org/guide/mobs/112,"
> Нет, наверное, я никогда не пойму тех, кто сознательно оставляет наш мир, меняет его на трясину грёз и забытья. Погружаясь в топь видений, раз за разом предаваясь дурману снадобий, невозможно остаться самим собой. Реальность постепенно перестает существовать, остаются лишь тени, призраки прошлого.   
>   
> Всё, что представлялось ценным, значимым: друзья, семья, жизненные принципы и стремления — незаметно уходят, уступая место пустоте. И именно тогда возникает непреодолимое желание заполнить эту пустоту, а единственной видящейся возможностью это сделать становится употребление всё тех же зелий, эликсиров и порошков.   
>   
> Самое страшное, что со временем любой, пытающейся найти в них успокоение, вместо этого становится их безвольным слугой, готовым отдать и сделать все, чтобы хотя бы ещё на миг погрузиться в фальшивый, несуществующий мир. Стаптывая ботинки о тракт, я не раз встречал тех, кого уже полностью сломала эта гадость.  
>   
> Худые, серые, с пустыми глазами они, унижаясь, просят деньги, берутся за самую грязную работу. Порой доведенные до грани они грабят, убивают только для того, чтобы наскрести нужное количество монет и купить то самое снадобье.   
>   
> Нет, с одной стороны их жалко, с другой, по сути, когда они начинают нападать, это уже не часть общества, а безумные, агрессивные существа, готовые на всё ради очередной дозы наркотика... Но если это простой пандорец, это полбеды. Долго он не протянет и многих проблем не создаст. А вот если в такое животное превращается бывший ходок, или ходок, из-за дурманов ставший бывшим, вот это совсем плохо. Их боевые навыки и закалка делают их по-настоящему опасными.  
>   
> Страшно это, и, на мой взгляд, грустно как-то.

***Лялислав Бездомный «Записки путешественника»***"
Орк-изгнанник,Переяр,Александр и Елена,6,разумные двуногие,воин,нормальный,"вербальное,жестовое",живая плоть,одежда: плохо,2 ноги,гуманоидное,средний,вертикальное,меч (урон: колющий / рубящий; материал: металл; тип силы: ближе к физике),"Здоровяк,Удар,Боец","низкие горы,мёртвый лес,мёртвый лес на холмах,пустыня,песчаные дюны,высохшая растрескавшаяся земля,высохшие растрескавшиеся холмы","меч-бастард,кусок кожи с клеймом",https://the-tale.org/guide/mobs/52,"
> Есть у орков славная традиция. Если орк нарушил закон, скажем, украл у шамана бубен, его изгоняют из поселения. При этом орк-изгнанник получает специальное клеймо… Ну какое? На длинной ручке железной обычное такое клеймо, суют его в угли и, как докрасна раскаляется, прижигают провинившегося… Не-ет, ты не прав. Это не варварство, а чужая культура. По-моему, интересно.  
>   
> Прижимают это клеймо ко лбу обычно. Как шкварчать перестало, всё значит, хватит, уже не заживёт. Издалека будет видно. Ни в один город его не впустят. Что интересно, в любом городе кусок кожи с клеймом торговцы берут за хорошие деньги. Зачем, не знаю.   
>   
> Вот. Орки ж они и так ребята крепкие, а изгнаннику и вовсе нужно быть молодцом. Чем ему на жизнь в изгнании зарабатывать? Правильно, разбоем. К тому же одному вне города выжить очень сложно. Орк-изгнанник бывает либо мёртвый, либо отличный боец с прекрасным здоровьем. Я сколько раз с ними сталкивался, столько сталь в ход пускать приходилось.

***Из бесед у камина со старым Переяром***"
Пёстробородый,Переяр,Александр и Елена,28,разумные двуногие,авантюрист,нормальный,"вербальное,жестовое",живая плоть,"борода: средняя,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,топор (урон: рубящий; материал: металл; тип силы: равновесие),"Удар,Боец,Ошеломление","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,глубокая вода,мелкая вода,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","братец-топор,разноцветная борода",https://the-tale.org/guide/mobs/140,"
> Это парни из банды пёстробородых. Разное дварфовское отребье. Самые беспринципные и кровожадные попадают к этим разбойникам. Хотя разбойники они необычные.  
>   
> Бороды красят в разные цвета прядями. Или, к примеру взять, заплетают в косы и косы красят в желтый, белый, рыжий, даже в зеленый.   
>   
> Шарят по горам, путников грабят. Мне один такой заявил, мол, эта дорога пёстробородым принадлежит, и я им за проход должен денег дать…  
>   
> Не, я платить не стал. Подумал, зачем этому парню с раскроенной головой, который у моих ног мозги раскидал, деньги?

***Из бесед у камина со старым Переяром***"
Мастер льда,Перкунос Седой,Александр и Елена,43,разумные двуногие,маг,нормальный,"вербальное,жестовое",живая плоть,одежда: хорошо,2 ноги,гуманоидное,средний,вертикальное,посох (урон: ударный; материал: дерево; тип силы: ближе к магии),"Контроль,Маг,Удар,Критический удар","хвойный лес,хвойный лес на холмах,низкие горы,высокие горы","белая кираса,морозильный мешок",https://the-tale.org/guide/mobs/150,"
> …Кто Мороза Большого ждет и Хлада Всемирного давно уж, кто во льдах паломничества совершал и ритуалы премерзкие, тот до мастера льда дорастает и со льдом тем лучше управляется, нежели аколиты юные.  
>   
> Сильнее оные, как колдуны морозом умерщвляющие, и живучее, а потому опасны более и злее. Остерегаться их надобно честному человеку, а воина кажного долг священный морозопоклонников насмерть бить, нашим Хранителям на радость, да люду доброму на спокойствие.

***Перкунос Седой «О мире и жителях егонных», том третий***"
Убийца,Перкунос Седой,Александр и Елена,19,разумные двуногие,авантюрист,нормальный,"вербальное,жестовое",живая плоть,одежда: хорошо,2 ноги,гуманоидное,средний,вертикальное,сабля (урон: режущий / рубящий; материал: металл; тип силы: равновесие),"Удар,Быстрый","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,глубокая вода,мелкая вода,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","убивалка,колба от яда",https://the-tale.org/guide/mobs/46,"
> Особливо опасными в нашем мире являются убийцы. Энто поганцы такие, что по полям вокруг деревень да городов валандаются беспрерывно и жертв своих несчастных подстерегают. Оные дикие нравом и беспощадные.   
>   
> Деньги они за злодеяния получают и кроме энтого ничего в жизни своей не ценят.   
>   
> Нападают паршивцы энти под покровом ночи, быстрые акоже вихрь, и смерть несут предательскую.   
>   
> Виду они бывают разного, то путником прикинутся, то торговцем что на ночлег стал, то хмельным господином знатным.   
>   
> Если какому подлецу тебе навредить случится, жди беды от каждого прохожего и незнакомца, любой из них может оказаться убийцей паршивым, что за деньги презренные жизни лишить тебя взялся.

***Перкунос Седой «О мире и жителях егонных», том восьмой***"
Ползун,Хан и Туан,Александр и Елена,4,хладнокровные гады,авантюрист,рефлексы,жестовое,живая плоть,"кожа: бледная,глаза: остекленевшие (рыбьи),кожа: маслянистая (блестящая),толстый,глаза: много,запах: гниль",8 лап,сферическое,маленький,вертикальное,клыки (урон: кусательный; материал: зуб; тип силы: равновесие),"Здоровяк,Медленный,Удар,Слабый","болото,заболоченные холмы,заболоченный лес,заболоченный лес на холмах,грязь,грязевые холмы","склизкие сапоги,сердце ползуна",https://the-tale.org/guide/mobs/19,"
> Бородун обыкновенный или ползун. Обитает в заболоченной местности, иногда на заросших камышом и кустарником берегах рек. Основными внешними видовыми признаками являются: круглое тело с тонкой прозрачной кожей, шесть глаз, расположенных по дуге, и мелкие, слабо развитые щупальца. Питается ползун водорослями, насекомыми, рачками и мальками, обитающими в топях.  
>   
> Своё название это необычное существо получило из-за способа передвижения. Перебирая расположенными в нижней части туловища лапами-щупальцами бородун способен медленно передвигаться — ползти.  
>   
> Ползуны очень слабые создания и не являются опасными для путешественников, однако, особенно большие особи могут попытаться напасть. Проявление агрессии в случае этого существа связано не столько с жаждой убийства, сколько со страхом и самообороной…

***«Большая энциклопедия Хана и Туана», том шестнадцатый***"
Аколит льда,Переяр,Александр и Елена,41,разумные двуногие,маг,нормальный,"вербальное,жестовое",живая плоть,одежда: плохо,2 ноги,гуманоидное,средний,вертикальное,пика (урон: колющий / ударный; материал: металл; тип силы: ближе к магии),"Худой,Контроль,Маг,Удар","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,глубокая вода,мелкая вода,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","морозная пика,белый лёд",https://the-tale.org/guide/mobs/142,"
> …Очередные шизики. Поклоняются холоду и льду. Приносят ему жертвы… Ну, я уж точно не знаю, но вроде бы жертву замораживают так, что как лед можно разбить.  
>   
> Так вот. Ждут, значит, прихода Большого Мороза и Хлада Всемирного. Тогда праведники выживут, а все остальные замерзнут. Правда сказать, и впрямь без шуб и шапок бегают… Закаленные парни, ага…  
>   
> Что они в Большом Морозе делать будут? А тут у них идея, значит, есть. Не шибко оригинальная, но интересная. Мир обновится, и станут праведники жить в идеальном обществе.   
>   
> Не знаю точно их порядков и обрядов, но общество это своё, идеальное, они видят без спиртного. Совсем. Поэтому последователей культа не много. Мало, понимаешь, у нас праведников.

***Из бесед у камина со старым Переяром***"
Волколак,Перкунос Седой,Александр и Елена,24,разумные двуногие,авантюрист,нормальный,"вербальное,жестовое",живая плоть,"шерсть: жёсткая,шерсть: средней длины,зубы: клыки,глаза: светятся,хвост,горбящийся",2 ноги,гуманоидное,средний,вертикальное,клыки (урон: кусательный; материал: зуб; тип силы: равновесие),"Удар,Регенерация,Берсерк,Громила","хвойный лес,хвойный лес на холмах,лиственный лес,лиственный лес на холмах,заболоченный лес,заболоченный лес на холмах,джунгли,джунгли на холмах,мёртвый лес,мёртвый лес на холмах","кольцо зверя,волчья ягода",https://the-tale.org/guide/mobs/90,"
> Во чащобах тёмных, в лесах и борах глухих обретается монстр опасный. Оный до эльфов и иных, кому повстречаться с ним судьба выпадет, лаком зело. Выглядит он, как эльф приличный, но может и дварфом, и гоблином, и человеком, и орком быть. Беседу монстр завести способен и тем бдительность путника усыпить, чтоб напасть затем и пожрать. Зовётся оный волколаком, али же вервольфом на эльфий манер.  
>   
> Когда монстр оный на жертву кидается, тут уж не перепутать, что зверь он и чудовище страшенное. Одежда вся рвётся на нём, шерстью монстр обрастает, а лицо вытягивается в пасть оскаленную с зубищами вострыми. В преогромного волка обернувшись, нападает оный на несчастного, когтьми рвёт и зубами. А убить его не просто, ибо к оружию простому восприимчив мало, а токмо серебра боится да магии.

**Перкунос Седой «О мире и жителях егонных», том второй**"
Друджи,Хан и Туан,Александр и Елена,30,демоны,маг,нормальный,"вербальное,жестовое",живая плоть,"торс: мощный,зубы: клыки,кожа: ороговевшая",2 ноги,гуманоидное,средний,вертикальное,сабля (урон: режущий / рубящий; материал: металл; тип силы: равновесие),"Воин,Критический удар,Удар,Быстрый","сухие луга,холмы с высохшей травой,луга,зелёные холмы","друджийская сабля,друджийская кожа",https://the-tale.org/guide/mobs/101,"
> Друджи — это демоническое существо, имеющее близкое родство с шайтаном. В отличие от своего сородича, предпочитающего пустыни, друджи обитает в основном в холмисто-равнинной местности среди обширных полей, в низинных лугах.   
>   
> Рацион имеет разнообразный, долгое время способен обходиться только растительной пищей, однако это ведёт к его медленному отощанию, а при затяжной нехватке животных компонентов — к неминуемой гибели.   
>   
> Данный вид демонов имеет средне-людской рост, однако значительно тяжелее и сильнее представителей этой расы. На его красно-коричневой коже в районе плеч, локтевых сгибов, колен и на шее находятся рогообразные небольшие наросты, дающие дополнительную защиту телу.   
>   
> Друджи является повышено опасным и агрессивным существом, нередко использующим при нападении разного рода оружие.   
>   
> Отдельно необходимо отметить, что особое предпочтение он отдает узким, длинным, искривлённым клинкам. Наличие у кого-либо подобного оружия часто выступает условием, провоцирующим этого демона на нападение.

***«Большая энциклопедия Хана и Туана», том пятый***"
Огненная лиса,Лялислав Бездомный,Александр и Елена,4,животные,маг,инстинкты,жестовое,живая плоть,"тело: горит,глаза: светятся,хвост,глаза: жёлтые",4 лапы,собачье,маленький,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: равновесие),"Толстяк,Удар,Пиромания,Громила,Быстрее ветра","мёртвый лес,мёртвый лес на холмах,пустыня,песчаные дюны,высохшая растрескавшаяся земля,высохшие растрескавшиеся холмы","пламенный воротник,рыжий хвост",https://the-tale.org/guide/mobs/51,"
> Это только на первый взгляд кажется, что в пересушенных землях ничего нет, но в пустынях немало удивительных зверей, растений и монстров.   
>   
> Вот об одном из животных, привыкших к раскалённому солнцу тамошних мест, я сейчас и расскажу.   
>   
> Как-то раз я увидел всполох пламени, несущийся по знойным пескам, по дури решил немного приблизиться, чтобы рассмотреть получше. Неудивительно, что оказалось зря. Передо мной красовалась огненная лисица.   
>   
> Раза в полтора больше своих лесных сородичей, зверь был полностью покрыт пушистой, блестящей, как медь шерстью, по которой танцевали, то поднимаясь, то опадая, языки огня.   
>   
> Несмотря на завораживающую внешность: огромные уши, крупный черный нос и расплавленного золота глаза, мне этим животным больше любоваться не хочется.   
>   
> Дело все в том, что огненная лисица значительную часть своей жизни спит, а бодрствует, в основном, только когда голодна. Соответственно, агрессия с её стороны при встрече с путником гарантирована.   
>   
> Помимо дюжего здоровья и ошеломляющей скорости, эта зверюшка может похвастать превосходными навыками зубастого убийцы.   
>   
> Так что будьте осторожны, когда в безжизненных пустынях повстречаете во всех смыслах убийственно красивое животное – огненную лису.

***Лялислав Бездомный «Записки путешественника»***"
Эмиген,Переяр,Александр и Елена,25,разумные двуногие,воин,низкий,"вербальное,жестовое",живая плоть,"торс: мощный,одежда: шкуры,головы: 2,горбящийся",2 ноги,гуманоидное,большой,вертикальное,топор (урон: рубящий; материал: металл; тип силы: физическая),"Медленный,Здоровяк,Удар,Последний шанс,Неповоротливый,Боец,Безрассудная атака","заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,высокие горы,джунгли на холмах,низкие горы,мёртвый лес на холмах,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы","полэкс,зелёный эвклаз",https://the-tale.org/guide/mobs/200,"
> Знакомый советник рассказывал мне как-то, что в ранних документах прошлой эпохи упоминаний об эмигенах нет. Только к концу второй эпохи ходоки стали рассказывать об уродливых великанах, спускающихся с гор...  
>   
> Не знаю, как там на самом деле, но судя из геройских баек эмигены не так давно начали пользоваться сколь-нибудь приличным оружием. Раньше их всегда описывали одетыми в грубо сшитые шкуры и вооружёнными дубинками и каменными топорами... Теперь? Ха, теперь они многому у нас научились. Дикари, конечно, но... Полэкс на стене видишь? Их работа. Отличный, к слову сказать! Помню, я им одному рыцарю по армету долбанул, еле выдернул потом. А кровь из всех щелей ручьями  
>   
> Ладно, ладно. Молчу... Две? Правда. А бывает даже и три. И все с отвратными мордами. Третья голова обычно недоразвитая, мелкая, начинает расти у взрослых уже эмигенов. Они редко доживают до этого. Природа сурова. Как они вообще выживают, не знаю. Есть у всех этих диких рас свои секреты и своя магия. Хотя, конечно, глядя на эмигенов подозреваешь, что мир скорей уж для них создан. Они выглядят куда более живучими, нежели мы... Почему? Ну, как тебе сказать. Ростом в полтора-два человека, в плечах широченные. Сутулые, с длинными руками ниже колен. Две головы! При том, что одну можно отрубить, а эмиген не умрёт. Глупее сразу станет, это да... впрочем, эти твари и с двумя-то не блещут. А то б точно нас за пояс заткнули. Согласись, что имея такую внешность в Пандоре прожить легче?..  
>   
> А этого никто не знает. Живых ловили, но информации это много не дало. Есть у них небольшие поселения. Есть вожаки, самки. Ковать они умеют, кожи выделывать. Но истории они не знают, язык у них примитивный, хоть и свой. Письменности нет. Вроде бы есть шаманы или кто-то вроде того. А так... Об эмигенах мы знаем не больше, чем о кобольдах или каменных великанах.

***Из бесед у камина со старым Переяром***"
